City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
89,quellon,-48.1265,-89.742,7.1,94,100,11.98,1690381556
90,codrington,27.1908,-48.2835,26.57,73,21,7.01,1690381556
91,constitucion,-34.2696,-73.2472,12.56,74,99,9.6,1690381556
92,grytviken,-44.6862,-38.2456,6.89,57,95,5.72,1690381557
93,shengli,37.4057,118.6078,25.94,75,69,4.89,1690381557
94,port-aux-francais,-62.1446,43.6615,-3.76,89,100,7.92,1690381557
95,srikakulam,16.073,85.7226,27.52,87,70,12.5,1690381558
96,port saint john's,-45.2475,42.079,7.57,99,100,10.91,1690381558
97,grytviken,-57.4763,-17.7457,-3.72,70,100,9.45,1690381558
98,addiet canna,11.3113,37.1912,18.33,78,100,1.05,1690381559
99,moa,21.5402,-74.6744,28.83,78,62,8.21,1690381559
100,olonkinbyen,71.8604,-11.3338,3.81,94,100,5.82,1690381559
101,coquimbo,-28.5286,-89.5737,18.71,84,100,5.12,1690381559
102,aasiaat,86.6698,-61.7925,0.64,79,98,4.5,1690381561
103,daru,-10.8451,138.0493,25.3,81,80,5.76,1690381561
104,port-aux-francais,-52.9977,52.5133,1.06,68,62,19.49,1690381562
105,gaspe,50.4132,-62.6042,21.32,69,100,2.85,1690381562
106,ribeira grande,20.2487,-41.7189,26.88,79,13,8.21,1690381562
107,guerrero negro,21.6641,-124.0527,21.48,88,29,4.12,1690381563
108,waitangi,-56.1836,-145.7554,1.92,92,100,5.29,1690381563
109,albany,-54.8269,123.348,1.56,77,100,11.74,1690381563
110,port elizabeth,-58.5288,31.0939,-2.56,70,23,19.26,1690381564
111,adamstown,-23.4937,-137.3563,22.37,72,55,5.74,1690381564
112,renk,11.3387,32.3347,28.31,63,100,6.77,1690381564
113,dan gora,11.5851,8.0422,34.29,34,36,2.0,1690381565
114,vila velha,-27.1307,-26.4877,20.67,59,92,1.24,1690381566
115,grytviken,-84.4158,-30.7641,-30.66,95,100,9.5,1690381566
116,rusape,-18.1849,32.6279,20.18,49,62,2.17,1690381566
117,port-aux-francais,-55.3956,72.3418,-0.49,93,100,14.94,1690381567
118,taulaga,-10.9096,-170.2166,27.36,73,100,7.97,1690381567
119,grytviken,-73.6342,-27.7993,-8.71,95,100,6.45,1690381567
120,bethel,65.7851,-164.5986,8.59,93,100,2.53,1690381568
121,waitangi,-79.3202,-159.7313,-43.61,84,97,2.04,1690381568
122,nyanza,-2.2961,29.7928,26.71,26,13,3.71,1690381568
123,klyuchi,62.7706,161.915,10.46,88,63,0.27,1690381569
124,ushuaia,-87.747,-90.4137,-43.22,98,100,7.49,1690381569
125,tamandare,-8.7619,-34.4955,25.97,72,12,5.85,1690381569
126,bayside,41.0742,-123.5658,6.73,81,0,0.89,1690381570
127,nantucket,39.3344,-67.9053,25.59,76,5,4.6,1690381570
128,thompson,71.253,-90.6256,1.67,90,98,4.66,1690381571
129,port-aux-francais,-56.6513,70.3643,-0.66,96,100,16.04,1690381571
130,ijuw,0.0657,168.522,28.31,78,100,6.11,1690381572
131,las veredas,23.4359,-108.4214,28.36,75,98,2.66,1690381572
132,waitangi,-72.0103,-163.9543,-28.32,100,100,7.8,1690381572
133,san felipe,21.5738,-101.2327,14.69,86,100,1.47,1690381573
134,blackmans bay,-59.6501,148.7988,0.16,83,99,15.74,1690381573
135,puente alto,-33.7294,-69.9324,-11.71,42,100,1.9,1690381573
136,yellowknife,69.5449,-121.3731,15.41,77,100,2.97,1690381574
137,port alfred,-37.1278,28.4204,17.76,95,99,7.33,1690381574
138,puerto penasco,31.0647,-113.3699,31.68,79,0,7.11,1690381574
139,port-aux-francais,-82.0946,43.2246,-51.91,100,100,3.99,1690381574
140,waitangi,-70.3327,-139.5267,-21.44,100,100,10.89,1690381575
141,labytnangi,82.9925,71.1172,-0.03,95,100,4.49,1690381575
142,adamstown,-9.7256,-123.1579,25.51,71,40,5.94,1690381575
143,karapinar,37.7674,33.6433,32.46,14,0,4.91,1690381576
144,bredasdorp,-45.5623,21.4804,5.89,74,100,9.66,1690381576
145,grytviken,-74.598,-23.5262,-16.42,95,100,9.2,1690381576
146,longyearbyen,81.1232,14.072,0.37,96,100,3.62,1690381577
147,waitangi,-74.4799,-144.1499,-28.8,99,100,11.0,1690381577
148,waitangi,-62.6498,-178.9971,-1.71,62,100,7.24,1690381577
149,iquitos,-3.6739,-73.2839,28.97,84,0,1.54,1690381578
150,bikenibeu village,1.4529,177.1146,27.93,79,100,3.23,1690381578
151,puerto natales,-62.1521,-99.5742,-0.07,79,100,13.42,1690381579
152,fale old settlement,-3.1265,-159.1592,27.87,78,16,9.26,1690381579
153,blackmans bay,-86.8103,127.9453,-51.04,97,100,7.88,1690381579
154,badger,87.8788,-136.6846,0.17,91,100,6.65,1690381580
155,port elizabeth,-80.1285,30.7609,-49.81,100,100,3.16,1690381580
156,cianorte,-23.3944,-52.796,24.62,51,100,4.41,1690381581
157,port-aux-francais,-39.6219,80.0801,13.5,94,100,12.53,1690381581
158,satipo,-10.542,-74.096,28.45,53,23,0.67,1690381581
159,port augusta,-30.6609,134.5802,14.21,45,0,5.31,1690381582
160,waitangi,-52.5178,-165.3827,8.56,85,100,16.52,1690381582
161,chibougamau,51.6957,-75.8917,16.74,81,78,3.58,1690381582
162,port alfred,-35.9196,28.3741,18.73,89,50,6.42,1690381583
163,puerto natales,-70.9734,-95.4236,-4.11,96,100,6.14,1690381583
164,pangody,70.3316,72.8998,7.56,73,100,6.19,1690381584
165,grytviken,-87.7651,-12.827,-43.46,99,100,5.99,1690381584
166,port-aux-francais,-88.1624,59.3833,-51.43,100,100,4.48,1690381584
167,punta arenas,-55.7298,-70.9981,3.25,58,100,10.12,1690381585
168,tromso,72.2313,19.0386,9.3,87,13,6.3,1690381585
169,talnakh,86.4937,100.4373,-0.54,93,61,2.44,1690381586
170,yellowknife,77.3303,-99.7162,1.33,90,45,1.95,1690381587
171,thompson,77.4982,-92.9143,0.89,94,100,2.25,1690381587
172,howard springs,-15.458,132.2536,16.47,36,5,1.77,1690381587
173,longmen,25.5063,117.7552,22.77,82,100,3.32,1690381588
174,arraial do cabo,-35.3119,-34.9864,13.37,74,100,12.02,1690381588
175,fisterra,42.6292,-10.5574,19.33,79,8,6.82,1690381589
176,georgetown,-4.1691,-8.6818,24.14,74,61,5.15,1690381589
177,sisimiut,67.4133,-58.3216,-0.62,98,100,3.95,1690381590
178,annaba,37.1494,8.105,30.03,65,3,5.66,1690381590
179,hamilton,34.1485,-53.3344,25.6,75,100,3.29,1690381591
180,adamstown,-53.9539,-136.9302,4.12,91,91,6.44,1690381591
181,tazovsky,81.4241,72.4078,0.6,94,100,3.14,1690381591
182,puerto natales,-62.5927,-93.8554,-0.37,82,100,13.64,1690381591
183,fortuna,39.4962,-127.0547,16.99,85,0,9.99,1690381592
184,key west,24.356,-81.5,31.0,69,38,5.88,1690381592
185,ghadamis,31.1468,9.0281,45.53,6,0,2.84,1690381592
186,jasper,38.327,-86.6001,27.3,83,85,3.75,1690381593
187,sinop,-9.9196,-55.5309,32.33,27,6,2.02,1690381594
188,iqaluit,80.5658,-67.9124,1.15,99,100,2.32,1690381594
189,melekeok village,7.2172,136.9169,26.93,83,100,9.44,1690381595
190,lazaro cardenas,27.5484,-118.4702,19.29,92,24,3.54,1690381595
191,howrah,-47.1859,155.5983,7.87,62,55,11.74,1690381596
192,luderitz,-27.7986,3.1552,16.77,67,51,5.56,1690381596
193,kailua-kona,14.8835,-158.1406,25.57,86,8,9.1,1690381596
194,selfoss,58.8408,-20.2734,13.77,97,100,12.1,1690381597
195,xilin hot,44.2124,116.851,15.33,97,98,1.66,1690381597
196,la sarre,50.9542,-79.6159,20.63,54,51,3.5,1690381597
197,kayangel,10.6367,132.6999,27.91,75,100,4.62,1690381598
198,talnakh,89.4608,92.3516,-0.03,93,100,6.34,1690381603
199,anadyr,71.7085,174.8483,0.12,99,100,2.42,1690381603
200,boyolangu,-8.7712,111.877,24.59,81,78,6.27,1690381603
201,bethel,64.2195,-177.8499,8.06,98,100,7.97,1690381604
202,vadso,80.8725,33.8109,0.52,93,100,3.11,1690381604
203,college,70.7578,-150.3289,1.13,99,100,5.37,1690381604
204,kidal,19.0176,4.2651,43.14,8,4,2.42,1690381604
205,kapa'a,36.207,-159.5904,20.76,82,17,5.37,1690381604
206,st. john's,44.8918,-46.6698,15.68,92,99,1.85,1690381605
207,labytnangi,72.9988,68.0469,8.21,71,88,5.36,1690381605
208,adamstown,-50.7475,-142.1766,7.14,80,27,5.34,1690381605
209,la passe,2.4925,56.4484,26.77,85,58,7.44,1690381606
210,lebu,-38.2766,-102.5763,12.88,96,100,7.92,1690381606
211,port-aux-francais,-78.4491,102.1518,-63.4,100,97,5.9,1690381607
212,bredasdorp,-85.9536,26.3033,-48.42,99,100,4.18,1690381607
213,lompoc,25.5548,-130.0161,19.85,82,100,7.46,1690381608
214,kristiansund,72.3049,3.2836,7.43,93,100,8.04,1690381608
215,ylitornio,66.8866,24.1936,19.1,55,86,2.22,1690381608
216,hawaiian paradise park,3.8909,-151.1773,27.54,77,14,3.82,1690381608
217,enewetak,14.8095,161.9105,28.18,79,24,5.83,1690381609
218,matoury,2.1628,-53.231,29.94,54,25,2.2,1690381609
219,taiohae,-2.8268,-132.2281,26.58,73,6,6.05,1690381609
220,keflavik,63.1829,-24.8469,11.22,87,100,14.19,1690381615
221,edinburgh of the seven seas,-84.7681,4.8518,-45.86,100,100,5.05,1690381615
